name,university,category,description,x_id,instagram_id,line_url,website_url,member_count,activity_frequency,logo_url,is_verified
看護師・保健師国家試験対策委員会,慶應義塾大学,文化系（音楽・演劇・アート）,,,,,https://www.city.tama.lg.jp/_res/projects/default_project/_page_/001/014/814/20240505tama_multi.pdf,,月5日,,FALSE
棋道部,慶應義塾大学,運動系（スポーツ・アウトドア）,,@1134golden,@keioshogi,,https://www.hchs.ed.jp/campus/niigata/,,月7日,,FALSE
公衆衛生学研究会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,@keio_eiken,,,https://jscp.or.jp/assets/img/3-1.achivement2020.pdf,,毎日,,FALSE
国際医学研究会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,@imakeio1978,@imakeio.since1978,,https://www.kyorin-u.ac.jp/univ/faculty/medicine/education/staff/detail/?id=med34014,,,,FALSE
サンタ企画実行委員会,慶應義塾大学,イベント・企画（インカレ・学園祭等）,,,,,https://www.hchs.ed.jp/campus/niigata/,,月7日,,FALSE
新聞研究会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,@jukushin2025,@jukushin_today,,https://circle.info-jukusei.com/%E5%AD%A6%E8%A1%93%E3%83%BB%E6%96%87%E5%8C%96%E7%B3%BB/%E6%85%B6%E6%87%89%E5%A1%BE%E7%94%9F%E6%96%B0%E8%81%9E%E4%BC%9A/,,不定期,,FALSE
精神医学研究会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,,,,https://www.hokudai.ac.jp/pr/pdf/jihou_25_11.pdf,7人,週4回,,FALSE
生命科学研究会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,,,,https://www.kyorin-u.ac.jp/univ/faculty/health/staff/detail.php?id=hea40237,,,,FALSE
東洋医学研究会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,,@keio_kanpoubu,,https://www.env.go.jp/nature/onsen/pdf/list_260302.xlsx,,,,FALSE
日韓医学生学術交流会,慶應義塾大学,文化系（音楽・演劇・アート）,,,@knock.iir,,https://note.com/keio_kansen/n/n0efd593b864e,,,,FALSE
日中医学生交流協会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,,,,https://medical.nikkeibp.co.jp/inc/all/author/a061.html,3322人,月8日,,FALSE
ぬいぐるみ病院,慶應義塾大学,趣味・その他,,,@nosuke,,https://www.kitasato-u.ac.jp/gakusei/kouhousi/documents/CampusGuide2024.pdf,15人,月1日,,FALSE
マッチング対策委員会,慶應義塾大学,趣味・その他,,,@doi_takero_seminar,,https://www.env.go.jp/nature/onsen/pdf/list_240301.xlsx,,,,FALSE
臨床推論勉強会,慶應義塾大学,学術・研究（ゼミ・研究会・勉強会）,,,,,https://shimanegp.com/3008/,,,,FALSE
Computer Society,慶應義塾大学,趣味・その他,,@kcs1959,@kcs1959,,https://info-jukusei.com/keio-programming-community/,,,,FALSE
鉄道研究会(理工学部),慶應義塾大学,運動系（スポーツ・アウトドア）,,@KeioRailwayClub,@keiorailwayclub,,https://www.env.go.jp/nature/onsen/pdf/list_250407.xlsx,,,,FALSE
