university,name,code,number,circleguide_url,status,source,twitter,instagram,line,website,email,search_status,nickname,youtube,tiktok,facebook,contact_method,description,appeal,genre,is_intercollege,campus,location_detail,activity_frequency,activity_schedule,atmosphere,camp_info,attendance_policy,member_count,gender_ratio,grade_composition,other_universities,founded_year,allows_dual_membership,accepts_late_entry,entry_requirements,fee_entry,fee_annual,fee_other,shinkan_info,events,achievements,sponsorship_history,external_activities,alumni_careers,annual_budget,event_attendance,photo_urls,extract_status
東京大学,"東京大学音楽部女声合唱団コーロ・レティツィア
/Coro Letizia",レティツィア,3,http://letizia.web.fc2.com/,公認,todai_pdf,https://x.com/coroletizia,,,,,ok(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,東京大学吹奏楽部,東大吹部,10,https://todai-wind.wixsite.com/my-site,公認,todai_pdf,https://x.com/utwe,https://instagram.com/_brassacademy_,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,"東京大学立て看同好会
/Billboard Creator Union Utokyo",東大立看同,12,https://twitter.com/tatekan_UT,公認,todai_pdf,https://x.com/tatekan_UT,,,,,ok(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,東京大学観世会/UTokyo KANZE Noh Club,東大観世会,14,https://todaikanze.wixsite.com/todaikanze,公認,todai_pdf,https://x.com/todaikanze,https://instagram.com/todaikanze,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,フィックス18期/FICS18th,FICS,34,"https://www.instagram.com/ficsutokyo_2025?utm_source=ig_w
eb_button_share_sheet&igsh=ZDNlZDc0MzIxNw==",公認,todai_pdf,,,,,,ok(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,東京大学法学フォーラム/UTokyo Law Forum,UTLF,39,ー,公認,todai_pdf,https://x.com/utokyolawforum,,,,,ok(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,Algorette,"Algorette,
アルゴレット",52,ー,公認,todai_pdf,,,,,,ok(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,東大生地方創生コンソーシアム,"東大生地方創生コン
ソーシアム",91,"https://sites.google.com/g.ecc.u-tokyo.ac.jp/ut-local-
consortium/",公認,todai_pdf,https://x.com/ut_local_cons,https://instagram.com/ut_local_cons,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,公益財団法人 同志会/ Dohshikai Dormitory,同志会,94,http://dohshikai.net/,公認,todai_pdf,,,,,,ok(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京大学,UTokyo Allyship,UTokyo Allyship,97,ー,公認,todai_pdf,,,,,,ok(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
